Source,Target
kedwards,AwardsDarwin
kedwards,colin2sheds
kedwards,blairmacintyre
kedwards,GeorgiaTech
kedwards,ryangravel
kedwards,professorBodker
kedwards,beltlinepiper
kedwards,andrewmiller
kedwards,verbicidal
kedwards,asbruckman
kedwards,GavinNewsom
TheNextCorner,dkhos
TheNextCorner,CBSSF
TheNextCorner,kron4news
TheNextCorner,KTVU
TheNextCorner,abc7newsbayarea
TheNextCorner,nbcbayarea
TheNextCorner,mercnews
TheNextCorner,WazeTrafficSF
TheNextCorner,JonathanWilbur
TheNextCorner,ChristiJOlson
TheNextCorner,ChristiJBOlson
TheNextCorner,NWSBayArea
TheNextCorner,MoneyLynch
TheNextCorner,HSBC
TheNextCorner,TheJudge44
TheNextCorner,farmshelf
TheNextCorner,elguapo
TheNextCorner,thecounter
TheNextCorner,jaychoag
TheNextCorner,woodymarshall
severinhacker,jayantkrish
severinhacker,switzerland099
severinhacker,hyrumwright
severinhacker,sieg
severinhacker,gabrielgambetta
severinhacker,RyanMunson21
severinhacker,kdub0
severinhacker,hmslydia
severinhacker,P4ndaGirl
severinhacker,StunnaDonDada
severinhacker,rickaroundhere
severinhacker,TimeSpaceOne
severinhacker,drob
severinhacker,triplejberger
severinhacker,daveclark
severinhacker,LexiBelc
severinhacker,ScottAdamsSays
severinhacker,cavanaughnate
severinhacker,christina_ooi
severinhacker,Steve_Ridout
ddol,Arubin
ddol,JamesTamplin
ddol,VelodyneLidar
ddol,CorrectNames
ddol,Kernasovskiy
ddol,aristeinberg
ddol,fivetentaylor
ddol,thereaIbanksy
ddol,kimmaicutler
ddol,atlasobscura
ddol,migueldeicaza
ddol,fredwilson
ddol,davemcclure
ddol,arstechnica
ddol,Voxitay
ddol,ConanOBrien
ddol,NASA
ddol,StephenAtHome
ddol,bballinger
ddol,CaseyNeistat
LMNault,docbaty
LMNault,ericsimons
LMNault,paulg
LMNault,joshcarpenter
LMNault,AndrewCrow
LMNault,NNgroup
LMNault,jnd1er
LMNault,blaurel
LMNault,mlssamrtn
LMNault,SoniaKoesterer
LMNault,girlracer68
LMNault,jlinowski
LMNault,monteiro
LMNault,lea_designer
LMNault,ericstrenger
LMNault,shodoshan
LMNault,livlab
LMNault,karaswisher
LMNault,Blair591
LMNault,ideo
zkancs,AuthorityLabs
zkancs,girlie_mac
zkancs,b0rk
zkancs,LauraBehrensWu
zkancs,BlackGirlsCode
zkancs,sheplusplus
zkancs,portainerio
zkancs,KnowYourCompany
zkancs,cjlew23
zkancs,sxywu
zkancs,alignedleft
zkancs,tdda0
zkancs,NodeSource
zkancs,zzbennett
zkancs,stitchfix_algo
zkancs,reworkpodcast
zkancs,janexwang
zkancs,rsalakhu
zkancs,nalkalchbrenner
zkancs,OriolVinyalsML
albertocairo,renovaveis_
albertocairo,datavized
albertocairo,KumpulaHanna
albertocairo,MDCPS
albertocairo,gvsig
albertocairo,ssaintleger
albertocairo,misslake
albertocairo,ChristianStork
albertocairo,cbasturea
albertocairo,discoursemedia
albertocairo,aric_chokey
albertocairo,NZZStorytelling
albertocairo,jugalpatelNYT
albertocairo,Prof_BearB
albertocairo,shannimcg
albertocairo,bnj_cooley
albertocairo,juliagalef
albertocairo,Court_Jeffrey
albertocairo,NHC_Atlantic
albertocairo,johntstasko
ibogost,caro_saunders
ibogost,SilverbergDave
ibogost,jenn_rossmann
ibogost,nora_kelly
ibogost,priscialva
ibogost,Tanvim
ibogost,davidzweig
ibogost,lindsaygellman
ibogost,slaskow
ibogost,lauraelizdavis
ibogost,UrbanLandInst
ibogost,kaitlinofficial
ibogost,coralsncaves
ibogost,dezeen
ibogost,iconeye
ibogost,Gastropodcast
ibogost,blueprintmag
ibogost,nicolatwilley
ibogost,tucker_ft
ibogost,tsmullaney
goodfellow_ian,maithra_raghu
goodfellow_ian,RoyaMahboob
goodfellow_ian,vmcheung
goodfellow_ian,elianalorch
goodfellow_ian,johncoogan
goodfellow_ian,neilhimself
goodfellow_ian,indicoData
goodfellow_ian,geoffreyirving
goodfellow_ian,gstsdn
goodfellow_ian,cjmaddison
goodfellow_ian,machinaut
goodfellow_ian,yeewhye
goodfellow_ian,robertskmiles
goodfellow_ian,rivatez
goodfellow_ian,gyomalin_ML
goodfellow_ian,VitalikButerin
goodfellow_ian,TheGradient
goodfellow_ian,lschmidt3
goodfellow_ian,aleks_madry
goodfellow_ian,SwiftOnSecurity
FisherDanyel,marksawula
FisherDanyel,TofHurter
FisherDanyel,ken_hinckley
FisherDanyel,ieeevgtc
FisherDanyel,d3visualization
FisherDanyel,RabbiDoubleA
FisherDanyel,MattNegrin
FisherDanyel,20korg
FisherDanyel,LeeNapier7
FisherDanyel,GeneticJen
FisherDanyel,tanner_jaime
FisherDanyel,HannahFoxwell
FisherDanyel,vlandham
FisherDanyel,davidcrosss
FisherDanyel,Zipcar
FisherDanyel,CharlesPPierce
FisherDanyel,gillianrhayes
FisherDanyel,danulf
FisherDanyel,ann_leckie
FisherDanyel,thinkpiecebot
jonfroehlich,jemelehill
jonfroehlich,JohnAlexander
jonfroehlich,rameses888
jonfroehlich,rajakushalnagar
jonfroehlich,jesshami
jonfroehlich,ProactiveSleep
jonfroehlich,HandicapThis
jonfroehlich,PoloChau
jonfroehlich,AbeDavis
jonfroehlich,graydesign
jonfroehlich,DavidNemer
jonfroehlich,yasssjasss
jonfroehlich,vj_chidambaram
jonfroehlich,thompsonpat
jonfroehlich,User1st
jonfroehlich,bendevane
jonfroehlich,AMAC_tweet
jonfroehlich,MikeySaugstad
jonfroehlich,ahaAtARO
jonfroehlich,saiphcita
CptPositive,aclear
CptPositive,scottOfTheSci
CptPositive,shaunkane
CptPositive,jure
CptPositive,EatClubOrg
CptPositive,MenInBlazers
CptPositive,jofish
CptPositive,ayman
CptPositive,informor
CptPositive,lanayarosh
CptPositive,jwiese
CptPositive,NGorm
CptPositive,gillianrhayes
CptPositive,aninddey
CptPositive,marlowja
CptPositive,AndyRichter
CptPositive,ACMUIST
CptPositive,bigdata4people
CptPositive,WillJosephCook
CptPositive,manwhohasitall
GTRI,CityParksAll
GTRI,tweeplers
GTRI,VAVetBenefits
GTRI,DeptVetAffairs
GTRI,stampshealth
GTRI,FerstCenter
GTRI,CarolineGWood
GTRI,SSEFGeorgia
GTRI,BuildingIoT
GTRI,NetOfEverything
GTRI,iotconsortium
GTRI,TheIoT
GTRI,carolrclark
GTRI,ConversationEDU
GTRI,Alltop
GTRI,FromTheLabBench
GTRI,BuzzHootRoar
GTRI,ConversationUS
GTRI,duvall_jd2
GTRI,C4ISRNET
kimisperros,AndrewLBeam
kimisperros,BioNLProc
kimisperros,wangfsh
kimisperros,GGandenberger
kimisperros,nlpnoah
kimisperros,jeanqasaur
kimisperros,ATLUTD
kimisperros,AdonisGeorgiadi
kimisperros,timnitGebru
kimisperros,pabbeel
kimisperros,arankhanna
kimisperros,paperpile
kimisperros,lxbrun
kimisperros,facebook
kimisperros,loconte
kimisperros,FBaldimtsi
kimisperros,hseas
kimisperros,OdedGreen
kimisperros,AmirSariri
kimisperros,nberpubs
peeber_pan,JakeP
coachdotme,JakeP
ElenaWerdath,JakeP
hazeshanshan,JakeP
Africa_VC,JakeP
lottisbp,JakeP
SouthCountyIzik,JakeP
baymonsters,JakeP
cruzisabela995,JakeP
jbarlekamp,JakeP
PeeringPressure,JakeP
ngoclongnguyen3,JakeP
MountainLionP22,JakeP
RayBeau,JakeP
banerjee_mamata,JakeP
CrowdTMeeting,JakeP
adb19a44f36c456,JakeP
hungviet2004,JakeP
MattandMattPod,SamForDaWin
fatla1995,SamForDaWin
KatieNolan33,SamForDaWin
AaronSolender86,SamForDaWin
StephanieFarri9,SamForDaWin
maddielee419,SamForDaWin
YaBoiHudson,SamForDaWin
WePlayLean,SamForDaWin
mwysocki93,SamForDaWin
mikeyeps,SamForDaWin
rishippatel3,SamForDaWin
ShitEprightSays,SamForDaWin
tedge99,SamForDaWin
_CJx32_,SamForDaWin
TFL2015,SamForDaWin
spookysadness,SamForDaWin
AnayNawathe,SamForDaWin
mattzerkus,SamForDaWin
qcampbell3,SamForDaWin
andysz,adarrow
kplusr2,adarrow
UXsnack,adarrow
Antonioflpalenc,adarrow
kenudigit,adarrow
delcarpio321,adarrow
rideamigos,adarrow
neela_bell,adarrow
bethgalambos,adarrow
BrittneyBush,adarrow
wrdarrow,adarrow
ModusInstitute,adarrow
zaidhisham,adarrow
peacokle,adarrow
banerjee_mamata,adarrow
Nonnormalizable,adarrow
LaurentJanolin,adarrow
BurlinBritta,adarrow
Phooj,adarrow
baba_jully,khusape
AnaClaraarmeli,khusape
HarvinderKour7,khusape
urbaneparent,khusape
Gopal000786,khusape
ManojSharma215,khusape
cefacoc,khusape
UXPAPER,khusape
RamiroMFernand1,khusape
Will_Alvarez,khusape
tatiana170295,khusape
bieber_work1,khusape
MomFailPodcast,khusape
CAKISANPANDYA,khusape
ahmedalwailly43,khusape
mustafaaidl,khusape
noveliciouss,khusape
FeelThree,khusape
Yhamegroup,khusape
arvindax,khusape
vidsrinivasan,Prof_DavidBader
guang99hui,Prof_DavidBader
authorea,Prof_DavidBader
brckngh,Prof_DavidBader
HariKrishnanK,Prof_DavidBader
khashashin,Prof_DavidBader
Bajaram17,Prof_DavidBader
darkglassocean,Prof_DavidBader
izquierdo_efren,Prof_DavidBader
Mark_W_Craven,Prof_DavidBader
ChimeAdvisors,Prof_DavidBader
AccuTac,Prof_DavidBader
ConvergeDigest,Prof_DavidBader
SwissCognitive,Prof_DavidBader
mtlasley,Prof_DavidBader
wulfrano,Prof_DavidBader
solixbigdata,Prof_DavidBader
spacesorceress,Prof_DavidBader
USCyberMag,Prof_DavidBader
MerrillvilBoost,Prof_DavidBader
beatricius,dennybritz
ma3axaka,dennybritz
ZhenshanJin,dennybritz
jGage718,dennybritz
philippedreesen,dennybritz
PySg_98,dennybritz
yanis_ameziane,dennybritz
oooskari,dennybritz
kartiks1,dennybritz
trinRJ,dennybritz
atiorh,dennybritz
dharmjitsingh2,dennybritz
hockeystickco,dennybritz
the_drow,dennybritz
erg,dennybritz
biem113,dennybritz
simplify365,dennybritz
pasha_razor,dennybritz
Emacsenli666,dennybritz
kp_tweets,dennybritz
DataRandAlgs,kedwards
GT_AnnieAnton,kedwards
naz_andalibi,kedwards
bigdata4people,kedwards
MatthewGombolay,kedwards
ICatGT,kedwards
vivianmotti,kedwards
LexusVitamin,kedwards
Shneydave,kedwards
profmikefraser,kedwards
sociallycompute,kedwards
MarinaChong,kedwards
myriadbird,kedwards
thesaadismail,kedwards
Chris_Storm71,kedwards
jr_thomp,kedwards
hide_yourself,kedwards
acmDIS,kedwards
MiJaGourlay,kedwards
dDistenfield,TheNextCorner
cammipham,TheNextCorner
daniellacardoso,TheNextCorner
michael_hodgdon,TheNextCorner
skylarcwrites,TheNextCorner
cheval_yo,TheNextCorner
tonystubblebine,TheNextCorner
bself4bworld,TheNextCorner
neilhuggan,TheNextCorner
MeusMediaGroup,TheNextCorner
talentdynamics,TheNextCorner
KevinB_Murphy,TheNextCorner
TommySWang,TheNextCorner
jenjacksonme,TheNextCorner
mypassiontest,TheNextCorner
eiupdates,TheNextCorner
RepBright,TheNextCorner
AmbraHensley,TheNextCorner
Sandybillionboy,TheNextCorner
mdraselkhantaj,TheNextCorner
DigitalTrends,severinhacker
price_ady,severinhacker
techsajib,severinhacker
rx_linguist,severinhacker
deanwithey,severinhacker
l__sahar,severinhacker
El_Luigi_V,severinhacker
Sandeepcristi,severinhacker
bbonesmo,severinhacker
arnaldohcastro,severinhacker
theceolibrary,severinhacker
LudoLatin,severinhacker
BarAlc58,severinhacker
TheG_Type,severinhacker
ArchAngelLPV,severinhacker
burculantonija,severinhacker
AdityaA19118052,severinhacker
RaffMisceo,severinhacker
MikeCaps,severinhacker
AwesomePittsbgh,severinhacker
visit_galway,ddol
desydolan,ddol
madbunny_911,ddol
AAthifas97,ddol
OBehaveYourself,ddol
coreyfro,ddol
NikhilS50,ddol
jonobacon,ddol
JessRepeal,ddol
Moviebnb,ddol
mostblue1,ddol
georgbauser,ddol
pmaceoin,ddol
gocountly,ddol
GoodAILab,ddol
bananamagick,ddol
acelr8,ddol
HostedGraphite,ddol
Voxitay,ddol
ShivaniAurora,LMNault
darksunshinedee,LMNault
ericsimons,LMNault
James044Brian,LMNault
ubikretail,LMNault
UXsnack,LMNault
venture12,LMNault
goshospain,LMNault
missiongirl4,LMNault
shodoshan,LMNault
LisaDOhio,LMNault
NoeticSeries,LMNault
LoveNVRDiesBook,LMNault
ipevzner,LMNault
nelsonmarteleir,LMNault
martinlong82,LMNault
mrpderbs,LMNault
banerjee_mamata,LMNault
cindycated,LMNault
DD_Serena_,zkancs
soulphoodie,zkancs
streamlio,zkancs
cammipham,zkancs
robertbradleyux,zkancs
SullivaChelsea,zkancs
daycamp4devs,zkancs
ansarisaad,zkancs
oneplus1000,zkancs
rvrkj,zkancs
notsu,zkancs
Mohamed3_AboTal,zkancs
DigidustGrowth,zkancs
dwhsieh,zkancs
TechNativeWire,zkancs
orbittest2,zkancs
EmekaData,zkancs
TAanderud,zkancs
JohnKNLL,zkancs
nicolemannann,zkancs
psop4,albertocairo
krystal1226du,albertocairo
JManphonsy,albertocairo
Hermes_Anna_,albertocairo
lisabriercliffe,albertocairo
overcaves,albertocairo
datavized,albertocairo
plsdontsteponme,albertocairo
AbbyDayyy,albertocairo
abigailmarie43,albertocairo
Joshua3Mann,albertocairo
GregTIBLE,albertocairo
Knowlege2action,albertocairo
calebbrasher,albertocairo
piyushkumar184,albertocairo
OsmanHardjojo,albertocairo
MithunCotha,albertocairo
EuroVis2018,albertocairo
RomainImbach,albertocairo
carlos_a_pineda,albertocairo
Takyous_Aroui,ibogost
RunMattW,ibogost
WillStottTweets,ibogost
adamsconsulting,ibogost
entropyamp,ibogost
minttoothpick,ibogost
rasmus_kleis,ibogost
threedukes,ibogost
NiirajKadam,ibogost
TedHamlinRC,ibogost
charlescandal,ibogost
bakteria,ibogost
peggyanne,ibogost
ConorMcNicholas,ibogost
gregbuchanan,ibogost
SeniBaboni,ibogost
ptpells,ibogost
if_dav,ibogost
Cozy_Bishop,ibogost
THSellars,ibogost
HitamThanki,goodfellow_ian
DomDivakaruni,goodfellow_ian
lightbluesnowfl,goodfellow_ian
schultzrt2,goodfellow_ian
Shad0wWa1ker,goodfellow_ian
anlthms,goodfellow_ian
WPK_Radio1,goodfellow_ian
danielfrg,goodfellow_ian
OmeroRae,goodfellow_ian
LachiePhilipson,goodfellow_ian
ragupappu,goodfellow_ian
ashishsengupta,goodfellow_ian
jGage718,goodfellow_ian
mabbasai,goodfellow_ian
selcux,goodfellow_ian
BharadwazM,goodfellow_ian
yanis_ameziane,goodfellow_ian
oooskari,goodfellow_ian
SultanBonny,goodfellow_ian
SominW,goodfellow_ian
BIdotcom,FisherDanyel
johnrampton,FisherDanyel
AmbassadorCOO,FisherDanyel
flekschas,FisherDanyel
ken_hinckley,FisherDanyel
hmlizama,FisherDanyel
CatchKD7,FisherDanyel
jawalnut,FisherDanyel
yanlofe,FisherDanyel
philogb,FisherDanyel
SeattleHarvest,FisherDanyel
nickyzhi123,FisherDanyel
univienna_vda,FisherDanyel
minsukkahng,FisherDanyel
JennyRLyons,FisherDanyel
amitkaps,FisherDanyel
namwkim85,FisherDanyel
pciuccarelli,FisherDanyel
Metti_Hoof,FisherDanyel
Domotalk,jonfroehlich
ATEKAssetScan,jonfroehlich
kev_nk06,jonfroehlich
markwschaefer,jonfroehlich
evankirstel,jonfroehlich
DConf2018,jonfroehlich
CarlSetzer,jonfroehlich
OpenSourceLab20,jonfroehlich
heorv,jonfroehlich
tentacleseal,jonfroehlich
JohnAlexander,jonfroehlich
markjamatthews,jonfroehlich
convoluted_code,jonfroehlich
datuixx,jonfroehlich
aneja_ap,jonfroehlich
rameses888,jonfroehlich
rajakushalnagar,jonfroehlich
skateprofessor,jonfroehlich
RollingWOLimits,jonfroehlich
developerach,jonfroehlich
FXPALResearch,CptPositive
jofish,CptPositive
t0zecorreia,CptPositive
msbernst,CptPositive
scottOfTheSci,CptPositive
ACMIUI,CptPositive
suefussell,CptPositive
IntercultComm,CptPositive
bigdata4people,CptPositive
kkarahal,CptPositive
khai_truong,CptPositive
hciprof,CptPositive
plopesresearch,CptPositive
nediyana,CptPositive
carlagriggio,CptPositive
cosleydr,CptPositive
jeffbigham,CptPositive
mattllee,CptPositive
ideasandinfo,CptPositive
Prof_DavidBader,GTRI
TRock2479,GTRI
karlyoungEC,GTRI
GregYounts,GTRI
rohitvarkey,GTRI
SoufianeEF,GTRI
AubreyDInc,GTRI
patrickocr,GTRI
EU_ScienceHub,GTRI
GTSolarRacing,GTRI
jimchatfieldjr,GTRI
SynesthCorp,GTRI
advoloastra,GTRI
GaTechWIE,GTRI
cclark_georgia1,GTRI
naz_andalibi,GTRI
ecr_,GTRI
Annakat23878050,GTRI
GAsGreatest,GTRI
keshav_sanjeevi,GTRI
devsmqueue2,kimisperros
Face_adventure,kimisperros
adamgdunn,kimisperros
nuclearkatie,kimisperros
BeadedJewlery,kimisperros
PromoStoreOne,kimisperros
OscarJetson,kimisperros
SyidMassiah,kimisperros
WoodFlipbook,kimisperros
sethmessenger32,kimisperros
appliedmldays,kimisperros
minsukkahng,kimisperros
KaterinaElRaheb,kimisperros
Prof_DavidBader,kimisperros
danlizotte,kimisperros
ilknurkabul,kimisperros
junayedjion9,kimisperros
ryanallred,kimisperros
Tobias_Grosser,kimisperros
